company,date,title,link,description
GS건설,2026-04-14,"동신대 산림조경학과, GS건설 채용설명회 '인기'",https://www.kyosu.net/news/articleView.html?idxno=203653,동신대학교 산림조경학과(학과장 김민희)가 최근 재학생들의 취업 역량 강화를 위해 'GS건설 초청 채용설명회'를 개최해 큰 인기를 끌었다. 산림조경학과 2학년부터 4학년 재학생 21명이 참여한 가운데 해인5관에서 진행된... 
GS건설,2026-04-13,"'압도적 찬성'으로 시공사 교체 택한 상대원2구역, GS건설 체제 '초읽기...",https://www.ksilbo.co.kr/news/articleView.html?idxno=1053841,"차기 시공사로는 GS건설이 유력시되는 가운데, 조합은 조속한 시일 내에 시공사 선정 절차를 마무리 지을 계획이다. ◇ '공사비·브랜드' 갈등 끝에 DL이앤씨와 결별 상대원2구역 재개발 조합은 지난 11일 조합원 총회를... "
GS건설,2026-04-13,허윤홍 기막힌 GS건설 도시정비사업 선구안? 건설사 눈치싸움에도 '새로...,https://www.huffingtonpost.kr/article/256587,허윤홍 GS건설 대표이사 사장이 이끄는 새로운 '자이'가 도시정비사업에서 무혈입성 가도를 달리고 있다. 애초 경쟁이 예상됐던 곳에서도 단독 입찰이 이어지면서 2024년 11월 자이 리브랜딩 이후 아직까지... 
GS건설,2026-04-12,"영업정지 앞둔 GS건설, 성수1구역 수주전 미칠 영향은?",https://www.safetynews.co.kr/news/articleView.html?idxno=247567,"나아가 GS건설은 가락프라자 재건축 수주전에서 현대엔지니어링을, HDC현대산업개발은 관양현대 재건축에서 롯데건설을 꺾고 시공권을 따내기도 했다. 정비사업 현장에서 '영업정지'라는 변수가 시공사 선정의 결정적... "
GS건설,2026-04-12,"주택 둔화에도 기회… GS건설, 원전 기대감 부각",https://www.pinpointnews.co.kr/news/articleView.html?idxno=444741,이에 따라 GS건설이 해당 시장에서 어떤 성과를 낼지 주목된다. 원전 사업은 수주 규모가 크고 장기간 안정적인 수익을 기대할 수 있다는 점에서 건설사의 체질 개선에 중요한 역할을 할 수 있다. 따라서 관련 수주... 
GS건설,2026-04-11,"GS건설, 매출 줄고 이익 늘었다…체질 개선 신호",https://www.pinpointnews.co.kr/news/articleView.html?idxno=444369,"1분기 신규 수주는 약 3조5000억 원으로 추정되며, 이 가운데 건축·주택 부문이 약 3조 원을 차지하는 것으로 분석된다. 시장에서는 GS건설이 분양 확대와 수익성 개선이라는 두 축을 동시에 추진하고 있다는 점에... "
GS건설,2026-04-10,"""GS건설, 나도 원전 해봤다…현대·대우에 밀려 주간사 경험은 없다""",https://www.newsquest.co.kr/news/articleView.html?idxno=264555,"김세련 LS증권 연구원은 ""장기적으로 원전 수주 성과에 따른 밸류에이션 업사이드가 여전히 남아 있다""고 밝혔다. GS건설의 2026년 매출액은 11조6390억원, 영업이익은 4720억원으로 추정한다."
GS건설,2026-04-10,"GS건설, 美 아모지와 합작투자 체결…에너지 사업 확장",https://www.news1.kr/realestate/general/6132344,GS건설(006360)은 미국 스타트업 아모지(AMOGY)와 암모니아 기반 분산발전사업을 공동으로 추진하기 위한... 합작투자는 플랜트 EPC(설계·조달·시공) 사업 수행 역량을 바탕으로 아모지(AMOGY)의 기술을 결합해 무탄소 전력... 
GS건설,2026-04-09,"GS건설, '모듈러 주택 엘리베이터 기술개발' MOU",http://www.hansbiz.co.kr/news/articleView.html?idxno=831821,양사가 공동 개발에 착수하는 '모듈러 엘리베이터' 기술은 GS건설이 지난해 12월 수주한 시흥거모 A-1BL 통합형 민간참여 공공주택 사업의 스틸 모듈러 동에 파일럿 프로젝트로 적용될 예정이다. 모듈러 엘리베이터 공법은... 
GS건설,2026-04-09,"GS건설, 허창수→허윤홍 본격 세대 교체…호실적에 성과급 활짝",https://realty.chosun.com/site/data/html_dir/2026/04/08/2026040803487.html,올해 GS건설의 신규 수주 목표는 8조원. 서울 알짜 재건축 현장으로 꼽히지만 현대건설 선호도가 너무 강하고 출혈 경쟁 예상되는 강남구 압구정 일대 수주는 과감히 포기했다. 대신 공사비 2조1000억원 규모인... 
